"Data Source","World Development Indicators",

"Last Updated Date","2026-04-08",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025",
"Bahrain","BHR","Unemployment, male (% of male labor force) (modeled ILO estimate)","SL.UEM.TOTL.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.463","0.408","0.355","0.419","0.435","0.514","0.474","0.461","0.454","0.43","0.449","0.459","0.45","0.412","0.386","0.385","0.376","0.379","0.409","0.44","0.49","0.481","0.468","0.436","0.447","0.47","0.471","0.475","0.491","0.87","0.724","0.493","0.367","0.385","0.418",
"Bahamas, The","BHS","Unemployment, male (% of male labor force) (modeled ILO estimate)","SL.UEM.TOTL.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12.229","13.933","12.457","12.631","10.036","8.655","8.344","5.708","5.798","6.205","6.724","8.531","9.966","9.333","9.281","7.063","6.743","7.177","14.45","14.145","13.733","14.069","16.106","13.006","11.051","11.016","8.295","10.05","8.994","12.154","11.356","9.534","9.076","9.525","9.251",
"Bosnia and Herzegovina","BIH","Unemployment, male (% of male labor force) (modeled ILO estimate)","SL.UEM.TOTL.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15.154","16.059","16.957","17.713","18.498","19.259","20.162","21.072","22.013","23.008","24.037","25.017","25.965","26.825","27.764","28.656","26.416","21.18","23.015","25.548","26","26.235","26.466","25.051","25.67","22.324","18.767","17.112","13.57","14.043","12.633","10.674","9.106","9.126","9.4",
"Belarus","BLR","Unemployment, male (% of male labor force) (modeled ILO estimate)","SL.UEM.TOTL.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.739","3.814","10.453","15.743","21.777","30.02","21.042","17.233","15.765","15.033","14.266","13.429","12.592","11.698","10.83","9.977","9.168","8.326","7.55","7.525","7.525","7.484","7.494","7.485","7.486","7.474","7.22","5.921","5.106","4.773","4.719","4.23","4.125","4.122","4.057",
"Belize","BLZ","Unemployment, male (% of male labor force) (modeled ILO estimate)","SL.UEM.TOTL.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.694","7.675","7.769","9.089","10.009","11.626","8.936","10.713","9.075","7.364","5.831","7.406","7.443","7.428","7.465","6.247","5.932","5.703","5.806","5.872","5.883","5.85","5.83","4.771","5.446","4.422","4.613","5.68","5.891","7.366","7.033","5.788","5.459","5.742","5.89",
"Bermuda","BMU","Unemployment, male (% of male labor force) (modeled ILO estimate)","SL.UEM.TOTL.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bolivia","BOL","Unemployment, male (% of male labor force) (modeled ILO estimate)","SL.UEM.TOTL.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.083","3.195","3.218","3.254","2.778","2.449","2.114","2.098","2.231","2.32","2.45","2.364","2.352","2.251","2.176","2.097","2.079","2.015","2.485","2.204","1.934","1.511","2.004","1.386","2.619","3.101","3.352","3.445","3.432","6.395","4.603","3.024","2.67","2.924","2.669",
"Brazil","BRA","Unemployment, male (% of male labor force) (modeled ILO estimate)","SL.UEM.TOTL.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.812","5.972","5.228","5.575","5.891","6.399","7.08","7.915","8.819","8.66","8.499","8.475","8.948","7.691","8.004","7.396","6.888","6.055","6.975","6.173","5.495","5.811","5.69","5.616","7.233","10.079","11.209","10.737","10.07","11.804","10.678","7.478","6.609","5.597","4.929",
"Barbados","BRB","Unemployment, male (% of male labor force) (modeled ILO estimate)","SL.UEM.TOTL.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20.015","20.502","21.686","18.457","16.737","11.808","11.445","8.551","7.936","7.443","8.014","8.548","9.534","8.737","7.448","7.696","6.431","6.858","10.148","10.903","9.788","10.94","11.664","11.686","10.632","7.847","8.464","8.116","9.54","11.083","10.482","6.966","6.191","6.097","6.097",
"Brunei Darussalam","BRN","Unemployment, male (% of male labor force) (modeled ILO estimate)","SL.UEM.TOTL.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.752","3.845","3.956","4.062","4.128","4.22","4.28","4.43","4.498","4.617","4.659","4.766","4.872","4.989","5.128","5.232","5.368","5.503","5.659","5.706","5.745","5.83","5.986","6.158","7.074","7.983","8.836","7.743","5.742","6.43","3.883","4.706","5.281","5.157","5.279",
"Bhutan","BTN","Unemployment, male (% of male labor force) (modeled ILO estimate)","SL.UEM.TOTL.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.379","1.39","1.42","1.405","1.4","1.391","1.393","1.4","1.236","1.211","1.196","1.257","1.297","1.893","2.932","2.635","2.902","2.837","2.751","2.769","2.004","1.915","2.249","1.986","1.911","2.151","2.447","2.746","2.282","4.226","3.719","4.537","2.377","2.713","2.64",
"Botswana","BWA","Unemployment, male (% of male labor force) (modeled ILO estimate)","SL.UEM.TOTL.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11.585","14.38","17.13","19.902","19.807","19.716","19.049","18.745","16.624","14.788","15.693","18.733","21.591","19.615","17.772","15.775","14.666","13.665","13.124","14.715","15.077","15.16","15.575","16.05","16.628","17.193","17.696","17.875","18.457","19.601","20.416","21.483","20.139","20.527","21.491",
"Central African Republic","CAF","Unemployment, male (% of male labor force) (modeled ILO estimate)","SL.UEM.TOTL.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.234","5.356","5.437","5.45","5.388","5.337","5.286","5.253","5.246","5.213","5.144","5.153","5.1","5.015","4.943","4.861","4.818","4.771","4.807","4.844","4.831","4.802","4.843","4.955","5.125","5.176","5.276","5.293","5.349","5.959","6.054","5.612","5.474","5.524","5.553",
"Canada","CAN","Unemployment, male (% of male labor force) (modeled ILO estimate)","SL.UEM.TOTL.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10.819","12.009","11.946","10.883","9.796","9.893","9.251","8.522","7.826","6.942","7.527","8.128","7.934","7.474","7.013","6.73","6.478","6.737","9.611","8.912","8.049","7.785","7.554","7.485","7.51","7.715","6.869","6.112","6.07","9.777","7.694","5.407","5.556","6.656","7.217",
"Central Europe and the Baltics","CEB","Unemployment, male (% of male labor force) (modeled ILO estimate)","SL.UEM.TOTL.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9.32259972261646","9.9096224083121","11.2056851272892","10.9543325850057","10.4651565960183","9.67582023803268","8.63482227584476","8.58669055118682","10.3543455290279","11.6800817182911","13.0489699884854","13.5820667388455","12.8635051952163","12.5938349493396","11.4570878250556","9.68970734158159","7.47799513584944","6.2884225986273","8.53395763620266","10.010163234022","9.74227479593251","9.89690945346219","9.92307310836073","8.65130636253859","7.74176801008003","6.52171876629495","5.31168508887663","4.31242622528084","3.7015504975319","4.31582466286057","4.44764834151776","3.9911958228474","4.02167462957657","3.97074489766881","4.13448551485359",
"Switzerland","CHE","Unemployment, male (% of male labor force) (modeled ILO estimate)","SL.UEM.TOTL.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.204","1.887","2.89","3.089","2.685","3.375","4.28","3.158","2.672","2.293","1.703","2.782","3.809","3.944","3.886","3.402","2.916","2.82","3.764","4.479","4.08","4.282","4.6","4.688","4.704","4.841","4.57","4.367","4.114","4.656","4.816","3.894","3.832","4.149","4.724",
"Channel Islands","CHI","Unemployment, male (% of male labor force) (modeled ILO estimate)","SL.UEM.TOTL.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.023","5.572","6.519","6.667","6.295","6.201","5.997","5.552","5.262","4.743","4.563","4.93","5.274","5.435","5.362","5.079","4.796","4.979","6.661","6.977","7.125","7.954","8.461","8.23","7.768","7.228","6.616","6.069","5.929","6.429","6.37","5.656","5.734","5.885","5.936",
"Chile","CHL","Unemployment, male (% of male labor force) (modeled ILO estimate)","SL.UEM.TOTL.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.025","3.904","4.202","5.438","4.437","6.141","5.89","6.263","10.148","9.453","9.598","9.324","8.55","8.56","7.645","7.427","6.958","7.514","9.975","7.517","6.448","5.762","5.683","6.385","6.114","6.549","6.869","6.962","6.958","10.786","9.087","7.839","8.755","8.127","8.487",
"China","CHN","Unemployment, male (% of male labor force) (modeled ILO estimate)","SL.UEM.TOTL.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.628","2.628","2.983","3.216","3.326","3.459","3.581","3.592","3.602","3.613","4.211","4.697","5.073","4.972","5.004","4.903","4.814","5.078","5.221","5.009","5.032","5.066","5.089","5.123","5.146","5.047","4.948","4.772","5.05","5.537","5.04","5.518","5.175","5.088","5.122",
"Cote d'Ivoire","CIV","Unemployment, male (% of male labor force) (modeled ILO estimate)","SL.UEM.TOTL.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.534","6.642","5.817","5.001","4.057","3.991","3.911","4.047","4.368","4.785","5.148","5.462","5.803","5.863","5.964","5.948","6.213","6.304","6.491","6.515","7.062","7.132","3.558","2.724","2.133","1.561","2.849","2.413","1.949","2.248","2.365","2.112","2.067","2.075","2.093",
"Cameroon","CMR","Unemployment, male (% of male labor force) (modeled ILO estimate)","SL.UEM.TOTL.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10.633","10.718","10.839","10.498","10.154","9.494","9.131","8.815","8.576","8.382","8.174","7.199","6.165","5.115","4.206","3.426","2.646","2.877","3.141","3.416","3.353","3.262","3.172","3.079","3.068","3.081","3.125","3.161","3.187","3.484","3.568","3.19","3.154","3.15","3.177",
"Congo, Dem. Rep.","COD","Unemployment, male (% of male labor force) (modeled ILO estimate)","SL.UEM.TOTL.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.07","4.198","4.298","4.24","4.087","3.914","3.928","3.958","4.004","4.023","4.031","3.937","3.779","3.673","3.637","3.885","4.136","4.379","4.66","4.893","5.129","5.301","5.281","5.241","5.247","5.355","5.462","5.484","5.451","6.466","6.306","5.353","5.269","5.212","5.284",
"Congo, Rep.","COG","Unemployment, male (% of male labor force) (modeled ILO estimate)","SL.UEM.TOTL.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18.662","18.667","18.738","19.006","18.966","18.796","18.64","18.65","18.882","18.619","18.623","18.397","18.62","18.636","18.539","18.314","18.643","18.695","18.58","18.059","18.19","18.247","18.592","18.451","18.765","19.034","19.455","19.554","19.22","21.109","20.799","18.837","18.634","18.611","18.692",
"Colombia","COL","Unemployment, male (% of male labor force) (modeled ILO estimate)","SL.UEM.TOTL.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.69","6.843","5.447","5.377","6.853","9.567","9.977","12.74","17.571","17.408","12.06","12.007","10.547","10.744","8.769","8.731","8.77","8.902","9.396","8.857","8.119","7.812","7.298","6.99","6.719","7.07","7.151","7.449","8.249","12.807","10.925","8.649","7.968","7.989","6.71",
"Comoros","COM","Unemployment, male (% of male labor force) (modeled ILO estimate)","SL.UEM.TOTL.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.58","4.316","4.359","4.355","4.463","4.561","4.35","4.4","4.33","4.187","4.166","4.158","4.342","4.352","4.296","4.24","4.219","4.151","4.029","3.907","3.828","3.789","3.671","3.663","3.687","3.746","3.658","3.565","3.495","4.036","3.924","3.393","3.351","3.333","3.387",
"Cabo Verde","CPV","Unemployment, male (% of male labor force) (modeled ILO estimate)","SL.UEM.TOTL.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13.392","13.291","13.136","12.792","12.738","12.697","12.863","12.908","12.922","12.873","13.092","13.229","13.456","13.305","13.286","13.223","13.136","13.148","13.358","10.524","10.779","10.935","11.153","11.405","11.6","11.719","11.83","12.651","12.602","15.401","14.579","12.692","12.316","12.319","12.366",
"Costa Rica","CRI","Unemployment, male (% of male labor force) (modeled ILO estimate)","SL.UEM.TOTL.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.649","3.354","3.512","3.377","4.581","5.239","4.89","4.21","4.865","4.307","5.189","5.591","5.809","5.381","5","4.345","3.218","4.142","6.569","5.994","8.006","7.939","7.174","7.136","7.1","6.755","6.457","7.421","8.472","13.153","11.668","8.603","7.092","6.359","6.197",
"Caribbean small states","CSS","Unemployment, male (% of male labor force) (modeled ILO estimate)","SL.UEM.TOTL.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13.9401793920955","14.6134507816384","14.5535115620845","13.8062934248827","12.6784436303424","11.6404312715692","11.1979508836428","10.4778866715249","10.3798588863834","9.8783556168483","9.27266920630217","9.23527545843999","9.48987007186211","8.48221417229705","8.02304341353521","7.02354151798157","6.51059172832755","6.46129741479556","8.02200433034007","7.67826872271129","7.46794196839813","7.78209433940894","7.73954774672194","7.25530492566654","7.11413278431083","7.44248022186448","7.21384653711824","7.52441147496853","7.28691463076196","8.95210559989434","8.60716046974378","7.33373572639122","6.59582494086552","6.5594194943486","6.51958311473535",
"Cuba","CUB","Unemployment, male (% of male labor force) (modeled ILO estimate)","SL.UEM.TOTL.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.669","6.084","6.529","6.166","5.739","5.091","4.918","4.553","4.422","3.906","3.168","2.586","1.73","1.657","1.801","1.732","1.737","1.346","1.469","2.368","2.969","3.362","3.123","2.417","2.28","1.879","1.742","1.617","1.623","2.207","2.061","1.747","1.645","1.672","1.655",
"Curacao","CUW","Unemployment, male (% of male labor force) (modeled ILO estimate)","SL.UEM.TOTL.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cayman Islands","CYM","Unemployment, male (% of male labor force) (modeled ILO estimate)","SL.UEM.TOTL.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
